"name","final","coryat","right","wrong","uid"
"Tori",8200,14200,19,1,6136
"Allen",6923,15800,23,4,6136
"Emily",17701,9600,11,1,6136
"Emily",31201,16400,26,3,6137
"Adam",2,7600,11,1,6137
"Swapna",20600,15600,13,0,6137
"Emily",13601,15200,25,3,6138
"Jeff",6800,11400,16,3,6138
"Kathleen",4395,2200,4,0,6138
"Emily",20399,13600,19,2,6139
"Laura",6799,5400,14,3,6139
"Jonathan",27201,14000,18,4,6139
"Jonathan",9400,14400,24,3,6140
"Mary Ann",38200,17400,19,1,6140
"Gerald",0,7400,11,3,6140
"Mary Ann",15200,23400,30,4,6141
"Lonnie",3995,4000,14,5,6141
"Chloe",-600,-600,6,4,6141
"Emma",18400,15400,14,0,6142
"Anish",3600,9200,17,4,6142
"Maya",26200,18200,23,2,6142
"Rotimi",1,9000,12,3,6143
"Isabella",0,8000,14,1,6143
"Caleb",20200,23000,27,2,6143
"Dan",-2400,600,15,11,6144
"Audrey",18800,13400,16,0,6144
"Claire",16999,14400,17,3,6144
"Tim",33601,16800,18,4,6145
"Jack",18000,16800,20,2,6145
"Rhea",6800,11800,15,2,6145
"Maggie",299,12200,12,1,6146
"Rohan",11900,9800,17,4,6146
"Autumn",19600,15400,20,3,6146
"Tim",26800,13000,20,2,6147
"Autumn",23199,11800,13,1,6147
"Claire",26801,13800,20,3,6147
"Maya",25600,17600,24,0,6148
"Caleb",5599,10200,10,3,6148
"Jack",16,10800,17,3,6148
"Audrey",0,11400,15,1,6149
"Emma",30001,15800,17,0,6149
"Rohan",2,15000,22,2,6149
"Emma",19000,15600,17,1,6150
"Claire",21800,15600,19,2,6150
"Maya",7800,12800,21,2,6150
"Mary Ann",14400,17600,26,4,6152
"Casey",9599,13800,15,2,6152
"Abby",10,800,6,2,6152
"Rachael",15000,13600,29,1,6153
"Jim",9600,6800,18,1,6153
"Denise",2200,1900,6,2,6153
"Greg",8500,8100,24,5,6154
"Eileen",0,3800,11,1,6154
"Jonathan",1,3700,14,1,6154
"Mary Ann",18700,15400,26,3,6155
"Terrie",8200,10800,16,4,6155
"David",0,2000,5,2,6155
"Mary Ann",16200,17200,21,5,6156
"Jennifer",6400,11400,17,2,6156
"J",28000,8200,14,1,6156
"J",0,6200,13,4,6157
"Dylan",9199,7000,13,1,6157
"Bridget",1242,4200,13,5,6157
"Dylan",16399,15000,21,2,6158
"Carol",5900,8600,15,1,6158
"Myra",0,5000,9,3,6158
"Dylan",-800,-800,6,7,6159
"Andrew",18200,15200,16,3,6159
"Adriana",30401,15400,22,2,6159
"Adriana",5200,8000,17,1,6160
"Chris",2,9400,14,1,6160
"Phil",3599,14000,16,3,6160
"Adriana",2599,5400,11,2,6161
"Elizabeth",4799,15000,18,2,6161
"Ben",1400,11400,17,2,6161
"Elizabeth",28199,10400,16,1,6162
"Dave",33801,17200,20,2,6162
"Bernadette",3199,12200,18,3,6162
"Dave",19800,18400,21,3,6163
"Alexander",8900,6200,17,6,6163
"Tiffany",0,2400,7,5,6163
"Dave",27601,19000,24,1,6164
"Amy",2600,2600,7,3,6164
"Brian",21501,20800,22,2,6164
"Dave",18900,14800,19,4,6165
"Samir",7401,4800,13,4,6165
"Pat",7099,7400,10,2,6165
"Dave",0,10600,17,3,6166
"Staci",29201,15600,20,1,6166
"Nick",21201,11600,17,4,6166
"Staci",4500,13600,18,3,6167
"Swetha",10200,11400,16,4,6167
"Francesco",24801,14600,15,1,6167
"Francesco",19500,12400,16,2,6168
"Nicole",20001,11000,13,4,6168
"John",7999,12000,19,5,6168
"Nicole",7600,7600,15,2,6169
"Andy",15999,20000,20,1,6169
"Elana",23601,9400,17,2,6169
"Elana",21600,10800,19,3,6170
"Faris",22700,20400,22,2,6170
"Mary Kate",-400,400,8,7,6170
"Faris",10800,7600,15,3,6171
"Jackie",14200,11400,16,3,6171
"Noah",11111,6000,11,4,6171
"Jackie",19889,12800,17,4,6172
"Alex",2800,2800,11,3,6172
"Josh",17000,9000,12,2,6172
"Jackie",24600,12400,15,2,6173
"Conor",24000,11200,14,2,6173
"Anne",1,10600,17,2,6173
"Jackie",28400,14400,15,1,6174
"Eric",2001,6800,15,6,6174
"Trisha",26799,14200,19,4,6174
"Jackie",0,8600,10,3,6175
"Carrie",1,9200,15,1,6175
"Andrew",21000,19400,25,2,6175
"Andrew",6399,19600,25,4,6176
"Ellie",-2000,-2000,4,4,6176
"Graham",22200,13600,21,3,6176
"Graham",18000,9000,14,2,6177
"Nicole",18000,10200,15,1,6177
"Charbel",30700,17000,18,0,6177
"Charbel",18000,10000,11,2,6178
"Lanier",6700,12000,15,2,6178
"Richard",18001,17200,24,2,6178
"Richard",16400,11200,17,2,6179
"Jon",19999,16800,25,6,6179
"DeAnn",2,8200,11,2,6179
"Jon",4400,4200,11,4,6180
"Heath",15000,12800,21,2,6180
"Kathryn",22000,13000,16,2,6180
"Kathryn",1,11200,19,6,6181
"Greg",5000,4800,9,2,6181
"James",27400,15400,20,1,6181
"James",0,11200,19,2,6182
"Kevin",20001,14800,17,2,6182
"Jan",0,9400,11,1,6182
"Kevin",4000,5200,13,2,6183
"Maggie",7000,9400,13,4,6183
"Jonathan",16500,14600,18,2,6183
"Jonathan",24001,19400,30,4,6184
"Danielle",1000,11800,15,2,6184
"Jordan",400,2400,6,2,6184
"Jonathan",22401,20200,20,1,6185
"Chrissy",6200,11200,19,2,6185
"Cade",20200,9000,14,4,6185
"Jonathan",30399,13000,20,3,6186
"Robert",8000,13400,16,1,6186
"Chelsea",10800,9800,12,2,6186
"Jonathan",5999,15000,18,2,6187
"Meredith",6002,10200,15,4,6187
"Zorn",7400,11200,18,3,6187
"Zorn",8800,6000,16,8,6188
"Jessica",26001,13200,17,0,6188
"Jeff",25950,11600,17,1,6188
"Jessica",28400,14200,18,4,6189
"Siobhan",10399,18200,19,1,6189
"Evan",2599,8400,14,2,6189
"Jessica",25600,12600,22,2,6190
"Dave",-800,3600,10,4,6190
"Anneke",25601,16800,16,0,6190
"Anneke",12100,21400,25,1,6191
"Sarah",1000,4000,11,2,6191
"Jocelyn",8400,13600,14,0,6191
"Anneke",26801,19800,24,4,6192
"Charlie",17900,8400,12,0,6192
"Suzy",26400,12200,17,2,6192
"Anneke",39995,20000,24,2,6193
"Kathleen",1087,19200,18,0,6193
"Evan",10000,9000,17,2,6193
"Anneke",0,13800,18,7,6194
"John",12000,7400,15,1,6194
"Jill",7799,13000,15,3,6194
"John",25200,17600,24,1,6195
"Frank",8799,9800,16,1,6195
"Caroline",11801,7400,13,3,6195
"John",30000,22000,30,4,6196
"Megan",3300,9000,15,2,6196
"David",11199,14600,14,1,6196
"John",25000,21200,25,3,6197
"Kelsey",10000,10000,15,1,6197
"Humzah",-2600,-3000,12,7,6197
"John",14800,13800,17,2,6198
"Haley",27400,16000,22,4,6198
"Julie",7200,6400,11,2,6198
"Haley",25200,11600,16,2,6199
"Rachel",29600,14400,22,3,6199
"Tim",2399,15400,18,2,6199
"Rachel",-1600,2000,8,4,6200
"Aaron",14401,13600,18,5,6200
"Nancy",12401,9200,19,4,6200
"Aaron",13300,12000,20,1,6201
